class	query	query_parsed	infinitive
1	черный орел 1988 скачать	A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,од=им,ед V,сов,пе=инф 	1
1	купить айхобот	V,сов,пе=инф S,муж,неод=(вин,ед|им,ед) 	1
1	жить здорово	V,несов,нп=инф ADV= 	1
1	как снять электронный браслет	ADVPRO= V,пе=инф,сов A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) 	1
1	как поселить нипов в мобильной версии terraria	ADVPRO= V,пе=инф,сов S,имя,муж,од=(вин,мн|род,мн) PR= A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	1
1	как собрать батарею из литий ионных аккумуляторов	ADVPRO= V=инф,сов S,жен,неод=вин,ед PR= S,муж,неод=(вин,ед|им,ед) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,неод=род,мн 	1
1	как записать число со многими нулями после запятой	ADVPRO= V,пе=инф,сов S,сред,неод=(вин,ед|им,ед) PR= APRO=твор,мн,полн S,муж,неод=твор,мн PR= S,жен,неод=(пр,ед|дат,ед|род,ед|твор,ед) 	1
1	получить прямой угол	V,пе=инф,сов A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,муж,неод=(вин,ед|им,ед) 	1
1	как разберать и собирать автомат рп отыгровка	ADVPRO= S,жен,неод=(вин,ед|им,ед) CONJ= V=инф,несов,пе S,муж,неод=(вин,ед|им,ед) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,жен,неод=им,ед 	1
1	убить пересмешника книга	V,пе=инф,сов S,муж,од=(вин,ед|род,ед) S,жен,неод=им,ед 	1
1	узнать что случилось с пореченковым	V,пе=инф,сов CONJ= V,нп=прош,ед,изъяв,сред,сов PR= S,фам,муж,од=(дат,мн|твор,ед) 	1
1	как сделать решетку на клавиатуре	ADVPRO= V,сов,пе=инф S,жен,неод=вин,ед PR= S,жен,неод=(пр,ед|дат,ед) 	1
1	лот крест господень поливать	S,муж,неод=(вин,ед|им,ед) S,муж,неод=(вин,ед|им,ед) A,притяж=(им,ед,кр,муж|вин,ед,кр,муж,неод) V,пе=инф,несов 	1
1	смотреть поставки новой военной техники в российскую армию в 2012-2016 год	V,несов,пе=инф S,жен,неод=(вин,мн|род,ед|им,мн) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(вин,мн|род,ед|им,мн) PR= A=вин,ед,полн,жен S,жен,неод=вин,ед PR= S,муж,неод=(вин,ед|им,ед) 	1
1	как правильно рассчитать ацетабулярный индекс	ADVPRO= ADV= V,сов,пе=инф A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) 	1
1	спазм пищевода как снять	S,муж,неод=(вин,ед|им,ед) S,муж,неод=род,ед CONJ= V,пе=инф,сов 	1
1	как проехать в киеве от наберижная луговая7 до площадиспортивная1	ADVPRO= V,сов,нп=инф PR= S,гео,муж,неод=пр,ед PR= A,полн=им,ед,жен PR= 	1
1	чайные домики уч дэрэ как доехать	A,полн=(им,мн|вин,мн,неод) S,муж,неод=(вин,мн|им,мн) S,муж,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) ADVPRO= V,нп=инф,сов 	1
1	какие есть упражнения для влагалища что бы доставить мужчине больше удовольствия	APRO=(им,мн|вин,мн,неод) V,нп=(непрош,ед,изъяв,3-л,несов|непрош,мн,изъяв,3-л,несов|наст,мн,изъяв,1-л,несов|наст,ед,изъяв,1-л,несов|наст,мн,изъяв,2-л,несов|наст,ед,изъяв,2-л,несов|наст,мн,изъяв,3-л,несов|наст,ед,изъяв,3-л,несов) S,сред,неод=(вин,мн|род,ед|им,мн) PR= S,сред,неод=(вин,мн|род,ед|им,мн) SPRO,ед,сред,неод=(вин|им) PART= V,пе=инф,сов S,муж,од=(пр,ед|дат,ед) ADV=срав S,сред,неод=(вин,мн|род,ед|им,мн) 	1
1	алиса знает что делать книги	S,имя,жен,од=им,ед V,несов,пе=непрош,ед,изъяв,3-л CONJ= V,несов,пе=инф S,жен,неод=(вин,мн|род,ед|им,мн) 	1
1	как завязать калмыцкий узел	ADVPRO= V=инф,сов A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) 	1
1	скачать таблицу игр чемпионата россии по футболу 2015-2016	V,сов,пе=инф S,жен,неод=вин,ед S,жен,неод=род,мн S,муж,неод=род,ед S,гео,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) PR= S,муж,неод=дат,ед 	1
1	осознаваться	V,несов,нп=инф 	1
1	что такое авалировать вексель	SPRO,ед,сред,неод=(вин|им) APRO=(вин,ед,сред|им,ед,сред) V,пе=(инф,несов|инф,сов) S,муж,неод=(вин,ед|им,ед) 	1
1	стрелки копировать	S,жен,неод=(вин,мн|род,ед|им,мн) V,несов,пе=инф 	1
1	вьетнамская вислобрюхая свинья купить	A=им,ед,полн,жен A=им,ед,полн,жен S,жен,од=им,ед V,сов,пе=инф 	1
1	что необходимо сделать чтобы в россии развивалась физическая культура	CONJ= ADV= V,сов,пе=инф CONJ= PR= S,гео,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V,нп=прош,ед,изъяв,жен,несов A=им,ед,полн,жен S,жен,неод=им,ед 	1
1	наложить вето	V,пе=инф,сов S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	1
1	не чинить препятствия	PART= V,несов,пе=инф S,сред,неод=(вин,мн|род,ед|им,мн) 	1
1	нейгауз размышления дневники скачать	S,фам,муж,од=им,ед S,сред,неод=(вин,мн|род,ед|им,мн) S,муж,неод=(вин,мн|им,мн) V,сов,пе=инф 	1
1	купить монету официальная эмблема празднования 70 летия победы в великой отечественной войне	V,сов,пе=инф S,жен,неод=вин,ед A=им,ед,полн,жен S,жен,неод=им,ед S,сред,неод=(вин,мн|род,ед|им,мн) S,сред,неод=(вин,мн|род,ед|им,мн) S,жен,неод=(вин,мн|род,ед|им,мн) PR= A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|дат,ед) 	1
1	как проехать до ленина 9 с садового в перми	ADVPRO= V,сов,нп=инф PR= S,фам,муж,од=(вин,ед|род,ед) PR= A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) PR= S,гео,ед,жен,неод=(пр|дат|род) 	1
1	когда в россии стали употреблять в пищу помидоры и картофель	CONJ= PR= S,гео,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V,нп=прош,мн,изъяв,сов V,пе=инф,несов PR= S,жен,неод=вин,ед S,муж,неод=(вин,мн|им,мн) CONJ= S,муж,неод=(вин,ед|им,ед) 	1
1	разряды в дзюдо распечатать	S,муж,неод=(вин,мн|им,мн) PR= S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) V,пе=инф,сов 	1
1	в каких еденицах измерения нужно по последним требованиям выдавать результат измерения	PR= APRO=(пр,мн|род,мн|вин,мн,од) S,жен,од=пр,мн S,сред,неод=(вин,мн|род,ед|им,мн) ADV,прдк= PR= A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,сред,неод=дат,мн V,пе=инф,несов S,муж,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) 	1
1	ввождить в заблуждение синоним	V,сов=инф PR= S,сред,неод=(вин,ед|им,ед) S,муж,неод=(вин,ед|им,ед) 	1
1	забыть герострата читать	V=инф,сов S,имя,муж,од=(вин,ед|род,ед) V,несов,пе=инф 	1
1	лет до ста расти нам без старости	S,муж,неод=род,мн PR= NUM=(пр|дат|род|твор) V,несов,нп=(инф|ед,пов,2-л) SPRO,мн,1-л=дат PR= S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	1
1	володин прошлым летом читать	S,фам,муж,од=им,ед A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,ед,сред,неод=твор V,несов,пе=инф 	1
1	что значит работать вахтовым методом	SPRO,ед,сред,неод=(вин|им) V,несов,пе=непрош,ед,изъяв,3-л V,несов,нп=инф A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,муж,неод=твор,ед 	1
1	как перевести пао	CONJ= V,сов=инф S,мж,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	1
1	что бы проверить двс надо провернуть	SPRO,ед,сред,неод=(вин|им) PART= V,пе=инф,сов ADV,прдк= V=инф,сов,пе 	1
1	можно купаться на ивана купала	ADV,прдк= V,несов,нп=инф PR= S,имя,муж,од=(вин,ед|род,ед) S,фам,муж,од=им,ед 	1
1	можно ли указать содержание витаминов в пищевой ценности	ADV,прдк= PART= V=инф,сов S,сред,неод=(вин,ед|им,ед) S,муж,неод=род,мн PR= A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	1
1	хорошо быть тихоней	ADV=вводн V,нп=инф,несов S,мж,од=(вин,мн|род,мн|твор,ед) 	1
1	как найти соотношение 1 07	ADVPRO= V=инф,сов,пе S,сред,неод=(вин,ед|им,ед) 	1
1	нанимателей служебного жилья нельзя выселить	S,муж,од=(вин,мн|род,мн) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,ед,сред,неод=род ADV,прдк= V,пе=инф,сов 	1
1	любовь нельзя купить	S,жен,неод=(вин,ед|им,ед) ADV,прдк= V,сов,пе=инф 	1
1	мирасти хоккеист	V,нп=(инф,сов|ед,пов,2-л,сов) S,муж,од=им,ед 	1
1	доехать до г москва проспект академика сахарова д.18	V,нп=инф,сов PR= S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,гео,жен,неод=им,ед S,муж,неод=(вин,ед|им,ед) S,муж,од=(вин,ед|род,ед) S,фам,муж,од=(вин,ед|род,ед) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	1
1	как использовать консоль в террарии	ADVPRO= V,пе=(инф,несов|инф,сов) S,жен,неод=(вин,ед|им,ед) PR= S,муж,неод=(пр,ед|вин,мн|им,мн) 	1
1	любовь нельзя купить	S,жен,неод=(вин,ед|им,ед) ADV,прдк= V,сов,пе=инф 	1
1	как назвать эту любовь wikipedia	ADVPRO= V,пе=инф,сов APRO=вин,ед,жен S,жен,неод=(вин,ед|им,ед) 	1
1	диверсифицировать что это такое	V,пе=(инф,несов|инф,сов) CONJ= SPRO,ед,сред,неод=(вин|им) APRO=(вин,ед,сред|им,ед,сред) 	1
1	скачать microsoft windows ce 5.0 core для навигатора	V,сов,пе=инф PR= S,муж,од=(вин,ед|род,ед) 	1
1	эксперементировать	V,несов,пе=инф 	1
1	как в гта онлайн убрать татуировку с лица	ADVPRO= PR= S,мн,неод=(вин|им) ADV= V=инф,сов S,жен,неод=вин,ед PR= S,сред,неод=(вин,мн|род,ед|им,мн) 	1
1	любить нельзя купить	V,несов,пе=инф ADV,прдк= V,сов,пе=инф 	1
1	целовать жопу	V,несов,пе=инф S,обсц,жен,неод=вин,ед 	1
1	кому на руси жить хорошо	SPRO,ед,муж,од=дат PR= S,гео,ед,жен,неод=(пр|дат|род) V,несов,нп=инф ADV=вводн 	1
1	определить характер волоконно-оптических объектов	V,пе=инф,сов S,муж,неод=(вин,ед|им,ед) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,неод=род,мн 	1
1	любящие должны смотреть не друг на друга а в одном направлении	V,несов,пе=(непрош,им,мн,прич,полн,действ|непрош,вин,мн,прич,полн,действ,неод) A=мн,кр V,несов,пе=инф PART= S,муж,од=им,ед PR= S,муж,од=(вин,ед|род,ед) CONJ= PR= APRO=(пр,ед,муж|пр,ед,сред) S,сред,неод=пр,ед 	1
