term,category,mark,sentiment,type
ресторане,Whole,Rel,neutral,explicit
ресторанах,Whole,Cmpr,neutral,explicit
ресторане,Whole,Rel,neutral,explicit
Столик бронировали,Service,Rel,neutral,explicit
сделали так как предложил администратор,Service,Rel,positive,fct
администратор,Service,Rel,positive,explicit
предварительный заказ,Service,Rel,positive,explicit
ресторан,Whole,Rel,neutral,explicit
ресторане,Whole,Rel,neutral,explicit
горячее блюдо,Food,Irr,neutral,explicit
ждать весьма долго,Service,Irr,negative,fct
Меню,Food,Rel,positive,explicit
вкусное,Food,Rel,positive,implicit
Обслуживание,Service,Rel,both,explicit
официанты,Service,Rel,positive,explicit
официанты делали всё что нужно,Service,Rel,positive,fct
Интерьер,Interior,Rel,positive,explicit
диваны,Interior,Rel,positive,explicit
музыкальная программа,Interior,Rel,positive,explicit
ведущий,Interior,Rel,positive,explicit
ресторан,Whole,Rel,positive,explicit
уютный,Interior,Rel,positive,implicit
кухня,Food,Rel,positive,explicit
Руководству,Whole,Rel,positive,explicit
персоналу,Service,Rel,positive,explicit
ресторане,Whole,Rel,neutral,explicit
первом этаже,Interior,Rel,neutral,explicit
руководству ресторана,Whole,Rel,positive,explicit
обслуживающему персоналу,Service,Rel,positive,explicit
сотрудникам,Service,Rel,positive,explicit
вкусные,Food,Rel,positive,implicit
блюда,Food,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
уютно,Interior,Rel,positive,implicit
красиво,Interior,Rel,positive,implicit
Стол,Food,Rel,positive,explicit
обслуживал,Service,Rel,positive,explicit
официант,Service,Rel,positive,explicit
ресторана,Whole,Rel,positive,explicit
цены,Price,Rel,positive,explicit
цены не высокие,Price,Rel,positive,fct
заведение,Whole,Rel,neutral,explicit
интерьер,Interior,Rel,negative,explicit
Встреча гостей,Service,Rel,negative,explicit
ресторане,Whole,Rel,neutral,explicit
стояли ждали,Service,Rel,negative,fct
официантов,Service,Rel,neutral,explicit
девушке-официанту,Service,Rel,neutral,explicit
посадить нас за столик,Service,Rel,neutral,explicit
